Category         Instruction         legal  fp_val  fp_single  uopc             iq_type   fu_code    dst_type  rs1_type  rs2_type  frs3_en  imm_sel  uses_ldq  uses_stq  is_amo  is_fence  is_fencei  mem_cmd    wakeup_delay  bypassable  is_br  is_sys_pc2epc  inst_unique  flush_on_commit  csr_cmd  is_rvv  can_be_split  uses_vm  v_ls_ew   vstart_is_zero  allow_vd_is_v0  not_use_vtype  vd_unequal_vs1  vd_unequal_vs2
X32              SLLI_RV32           Y      N       X          uopSLLI          IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
X32              SRLI_RV32           Y      N       X          uopSRLI          IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
X32              SRAI_RV32           Y      N       X          uopSRAI          IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
X64              LD                  Y      N       X          uopLD            IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_X      N        IS_I     Y         N         N       N         N          M_XRD      3.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
X64              LWU                 Y      N       X          uopLD            IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_X      N        IS_I     Y         N         N       N         N          M_XRD      3.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
X64              SD                  Y      N       X          uopSTA           IQT_MEM   FU_MEM     RT_X      RT_FIX    RT_FIX    N        IS_S     N         Y         N       N         N          M_XWR      0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
X64              SLLI                Y      N       X          uopSLLI          IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
X64              SRLI                Y      N       X          uopSRLI          IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
X64              SRAI                Y      N       X          uopSRAI          IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
X64              ADDIW               Y      N       X          uopADDIW         IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
X64              SLLIW               Y      N       X          uopSLLIW         IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
X64              SRAIW               Y      N       X          uopSRAIW         IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
X64              SRLIW               Y      N       X          uopSRLIW         IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
X64              ADDW                Y      N       X          uopADDW          IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_FIX    N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
X64              SUBW                Y      N       X          uopSUBW          IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_FIX    N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
X64              SLLW                Y      N       X          uopSLLW          IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_FIX    N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
X64              SRAW                Y      N       X          uopSRAW          IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_FIX    N        IS_I     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
X64              SRLW                Y      N       X          uopSRLW          IQT_INT   FU_ALU     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         N         N       N         N          M_X        1.U(2.W)      Y           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             LW                  Y      N       X          uopLD            IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_X      N        IS_I     Y         N         N       N         N          M_XRD      3.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             LH                  Y      N       X          uopLD            IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_X      N        IS_I     Y         N         N       N         N          M_XRD      3.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             LHU                 Y      N       X          uopLD            IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_X      N        IS_I     Y         N         N       N         N          M_XRD      3.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             LB                  Y      N       X          uopLD            IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_X      N        IS_I     Y         N         N       N         N          M_XRD      3.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             LBU                 Y      N       X          uopLD            IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_X      N        IS_I     Y         N         N       N         N          M_XRD      3.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             SW                  Y      N       X          uopSTA           IQT_MEM   FU_MEM     RT_X      RT_FIX    RT_FIX    N        IS_S     N         Y         N       N         N          M_XWR      0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             SH                  Y      N       X          uopSTA           IQT_MEM   FU_MEM     RT_X      RT_FIX    RT_FIX    N        IS_S     N         Y         N       N         N          M_XWR      0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
